en,cn
pencil,铅笔
eraser,橡皮
book,书
notebook,笔记本
desk,课桌
chair,椅子
teacher,老师
student,学生
school,学校
classroom,教室
door,门
window,窗户
blackboard,黑板
bag,书包
ruler,尺子
sharpener,卷笔刀
scissors,剪刀
glue,胶水
paint,颜料
brush,画笔
computer,电脑
mouse,鼠标
keyboard,键盘
screen,屏幕
homework,作业
test,考试
lesson,课
recess,课间
playground,操场
library,图书馆
cafeteria,食堂
music,音乐
art,美术
math,数学
science,科学
history,历史
geography,地理
PE,体育
English,英语
Chinese,语文
friend,朋友
family,家庭
mother,母亲
father,父亲
brother,兄弟
sister,姐妹
water,水
bread,面包
rice,米饭
milk,牛奶

